CNPJ_ENVIADO;TITULO_ENVIADO;PARCELA_ENVIADA
2658381;000257256-1;1
2658381;000263930-1;1
2658381;000257282-1;1
2658381;000263931-1;1
2667548;000261175-1;1
1048278;000270071-1;1
2658480;000270054-1;1
1762093;000249278-1;1
2657053;000227432-1;1
2659906;000265133-1;1
2658391;000241049-1;1
1811150;000257591-1;1
1774500;000247328-1;1
1734916;27179;1
1734916;27178;1
1421971;001586433-4;1
2664129;001577731-4;1
1574055;001582170-4;1
2638118;001586481-4;1
1794181;30998;1
1779738;001893507-1;1
1827974;001888664-1;1
1675482;2596;2
1712129;001894693-1;1
2644823;001888483-1;1
1801513;000334394-1;1
1725787;000331708-1;1
1725769;000321179-1;1
1725769;000321178-1;1
1817325;000324742-1;1
1723200;000313764-1;1
1798938;000461791-1;1
1798938;000462680-1;1
1822646;20916;2
2540990;000456500-1;1
1192770;000455927-1;1
1786052;000454534-1;1
1786052;000454533-1;1
1607615;000454137-1;1
1767395;001186859-1;1
1767395;001186860-1;1
1762741;001186298-1;1
2679983;21941;2
1572774;001188842-1;1
1572774;001188844-1;1
1826858;001187016-1;1
1776508;001184098-1;1
1752554;001175758-1;1
1752554;001180110-1;1
1639268;000344819-1;1
1623677;000356872-1;1
1623677;000356886-1;1
2522240;000361319-1;1
1770775;000353930-1;1
1689019;000290642-1;1
1689426;000284987-1;1
2665611;28110;1
2579211;000272460-1;1
2640550;21230;1
1777741;000280780-1;1
1821444;000239181-1;1
2250843;000261016-1;1
2678153;27777;1
2658585;000261620-1;1
1823023;000270889-1;1
2658201;000271955-1;1
1823251;000274116-1;1
1823251;000274111-1;1
1812021;000270588-1;1
2667418;000270669-1;1
1815218;000273631-1;1
1795560;001588493-4;1
1708555;001584750-4;1
1754283;001897357-1;1
1779738;001897758-1;1
2657753;000001883-1;1
1726800;000336310-1;1
1724440;000337318-1;1
1722289;000335932-1;1
1722289;000335933-1;1
1828725;000335767-1;1
1828725;000335768-1;1
1722727;000335053-1;1
1726032;000334294-1;1
1723218;000334666-1;1
2644718;000467875-1;1
1493789;000469422-1;1
1798938;000466341-1;1
1570559;001191067-1;1
2552940;000364520-1;1
1792474;000362377-1;1
1792474;000362375-1;1
1792474;000362376-1;1
1808626;000293745-1;1
2695353;000282556-1;1
2296450;000283097-1;1
2296450;000283095-1;1
2296450;000283096-1;1
1597742;000279831-1;1
1044930;000271002-1;1
1044930;000271001-1;1
1044930;000271000-1;1
1044930;000270999-1;1
2678948;000276861-1;1
1813536;000277690-1;1
2696884;000268586-1;1
2681705;000276918-1;1
2681705;000276928-1;1
1823836;000277796-1;1
2685386;000276146-1;1
1051687;000277309-1;1
1051687;000277310-1;1
1418132;000280987-1;1
1647556;000276908-1;1
1692695;000280042-1;1
1809685;000277761-1;1
1816931;000279500-1;1
2667418;000276302-1;1
2680098;000280786-1;1
1829997;000280572-1;1
1042251;000276657-1;1
2599007;000276259-1;1
1759436;001589441-4;1
1827397;001589299-4;1
2517540;001590312-4;1
1530133;001899327-1;1
1701131;001900831-1;1
1820892;001900476-1;1
1807013;001900469-1;1
1680721;001900288-1;1
1786240;000003938-1;1
2657753;000002626-1;1
1792404;000340547-1;1
1721574;000341901-1;1
1736735;000335310-1;1
1736735;000335301-1;1
1721955;000341303-1;1
