CNPJ_ENVIADO;TITULO_ENVIADO;PARCELA_ENVIADA
1569544;001199690-1;1
1594423;001196300-1;1
1632523;000294992-1;1
1688068;001197954-1;1
1688068;001197957-1;1
1810683;001201273-1;1
1815038;001200382-1;1
1815038;001200383-1;1
1826723;000294051-1;1
2409925;001201015-1;1
2409925;001201016-1;1
2626782;001198546-1;1
2628145;000295318-1;1
2660867;000292479-1;1
2675747;001198877-1;1
2677010;000292346-1;1
2684629;001198937-1;1
2684629;001198938-1;1
2695388;000292310-1;1
2695676;000293043-1;1
1039599;000371776-1;1
1070874;000476075-1;1
1070874;000476076-1;1
1405559;000474382-1;1
1411592;000481052-1;1
1411592;000481060-1;1
1417168;001592581-4;1
1417565;001588097-4;1
1418540;001593180-4;1
1441964;001903993-1;1
1445191;001901595-1;1
1474703;000368017-1;1
1507193;000370902-1;1
1526204;001590630-4;1
1527731;001900416-1;1
1563263;001899934-1;1
1596183;000371675-1;1
1596183;000371676-1;1
1624676;028216;6
1633558;001593825-4;1
1640914;019637;6
1645816;000473963-1;1
1645816;000473994-1;1
1675547;000476350-1;1
1688053;;3
1690614;000295466-1;1
1691773;000299335-1;1
1691950;000296999-1;1
1698726;000296341-1;1
1705596;001592520-4;1
1705596;001592578-4;1
1712269;000295769-1;1
1725008;000343842-1;1
1725008;000343843-1;1
1725008;000343844-1;1
1725427;000343898-1;1
1726794;000345882-1;1
1726794;000345883-1;1
1726794;000345884-1;1
1735626;001592217-4;1
1735855;001594239-4;1
1738065;000345476-1;1
1757660;001590078-4;1
1758281;001590282-4;1
1764328;001594234-4;1
1764465;000368904-1;1
1773624;026978;2
1775553;001903211-1;1
1775553;001903212-1;1
1776103;001594249-4;1
1808252;000345189-1;1
1817924;001591943-4;1
1819503;001593688-4;1
1829035;001904298-1;1
1829088;001903081-1;1
1829607;027805;2
1832257;001593790-4;1
1832609;000345288-1;1
1833450;001593454-4;1
2294413;000371279-1;1
2410698;001589255-4;1
2559208;001592771-4;1
2604375;000339682-1;1
2622591;000367945-1;1
2653961;001903360-1;1
2654109;000297713-1;1
2661871;001902770-1;1
2664455;000478842-1;1
2664455;000478843-1;1
2687071;001903005-1;1
2689452;000298762-1;1
2692620;000478855-1;1
1043997;000286253-1;1
1043997;000286254-1;1
1479786;000286194-1;1
1630451;000286492-1;1
1762154;000277871-1;1
1773506;000278871-1;1
1773506;000278872-1;1
1794717;000288687-1;1
1809816;000288226-1;1
1813723;000283703-1;1
1819705;000287944-1;1
1819705;000287946-1;1
1823795;000286371-1;1
1826703;000283631-1;1
2486577;000005963-1;1
2607527;000005953-1;1
2653684;000278504-1;1
2656663;000281244-1;1
2658645;000277643-1;1
2658645;000277644-1;1
2658645;000277645-1;1
2662318;000285163-1;1
2662324;000280356-1;1
2663477;000006636-1;1
2686167;038064;1
2688016;000285493-1;1
2688229;000004648-1;1
