cliente,Horario,Quantidade,Valor
BAT/SOUZA CRUZ,08:00,34,70079.4
BAT/SOUZA CRUZ,09:00,47,153717.38
BAT/SOUZA CRUZ,10:00,69,142276.05
BAT/SOUZA CRUZ,11:00,65,134484.76
BAT/SOUZA CRUZ,12:00,42,62784.59
BAT/SOUZA CRUZ,13:00,39,67567.93
BAT/SOUZA CRUZ,14:00,74,148535.01
BAT/SOUZA CRUZ,15:00,49,136534.29
BAT/SOUZA CRUZ,16:00,45,85914.23
BAT/SOUZA CRUZ,17:00,14,25662.09
BAT/SOUZA CRUZ,18:00,0,0.0
BAT/SOUZA CRUZ,19:00,0,0.0
DELLYS,08:00,11,13628.28
DELLYS,09:00,9,9847.81
DELLYS,10:00,17,34764.69
DELLYS,11:00,22,27713.86
DELLYS,12:00,13,17714.9
DELLYS,13:00,10,22992.41
DELLYS,14:00,17,28329.57
DELLYS,15:00,8,9408.79
DELLYS,16:00,9,8640.09
DELLYS,17:00,4,1791.66
DELLYS,18:00,0,0.0
DELLYS,19:00,0,0.0
FEMSA,08:00,75,67735.81
FEMSA,09:00,90,102588.13
FEMSA,10:00,87,76856.27
FEMSA,11:00,59,61810.91
FEMSA,12:00,23,19405.86
FEMSA,13:00,44,99598.48
FEMSA,14:00,57,53030.13
FEMSA,15:00,43,61260.3
FEMSA,16:00,104,106089.97
FEMSA,17:00,27,16753.14
FEMSA,18:00,0,0.0
FEMSA,19:00,0,0.0
HEINEKEN,08:00,6,11621.8
HEINEKEN,09:00,2,574.65
HEINEKEN,10:00,17,25943.87
HEINEKEN,11:00,8,28153.5
HEINEKEN,12:00,4,5175.61
HEINEKEN,13:00,6,3275.11
HEINEKEN,14:00,3,15440.52
HEINEKEN,15:00,8,8311.4
HEINEKEN,16:00,7,2768.69
HEINEKEN,17:00,3,2411.35
HEINEKEN,18:00,0,0.0
HEINEKEN,19:00,0,0.0
PEPSICO,08:00,27,39807.71
PEPSICO,09:00,26,25188.56
PEPSICO,10:00,30,30652.26
PEPSICO,11:00,26,28550.56
PEPSICO,12:00,12,14423.19
PEPSICO,13:00,20,17570.51
PEPSICO,14:00,32,25874.81
PEPSICO,15:00,29,33807.86
PEPSICO,16:00,12,14105.56
PEPSICO,17:00,12,9406.06
PEPSICO,18:00,0,0.0
PEPSICO,19:00,0,0.0
PMB,08:00,27,32617.06
PMB,09:00,45,72795.13
PMB,10:00,55,60425.22
PMB,11:00,46,47199.48
PMB,12:00,28,33825.67
PMB,13:00,35,39343.86
PMB,14:00,47,53680.06
PMB,15:00,46,60251.52
PMB,16:00,35,42861.52
PMB,17:00,22,18415.85
PMB,18:00,0,0.0
PMB,19:00,0,0.0
